date,ticker,avg_bias,disp_bias,avg_sentiment,n_articles,retail_sentiment,n_retail_posts,adj_close,rsi,macd,macd_signal,target_up,avg_sentiment_roll3,avg_sentiment_lag1,avg_bias_roll3,avg_bias_lag1,disp_bias_roll3,disp_bias_lag1,n_articles_roll3,n_articles_lag1,retail_sentiment_roll3,retail_sentiment_lag1,n_retail_posts_roll3,n_retail_posts_lag1,rsi_roll3,rsi_lag1,macd_roll3,macd_lag1,macd_signal_roll3,macd_signal_lag1
2024-05-31,AAPL,0.0,0.0,-0.0055555555555555,3,0.0,0.0,191.3551025390625,0.0,0.0,0.0,1,-0.0055555555555555,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-31,AMZN,0.0,1.0,0.1333333333333333,3,0.0,0.0,176.44000244140625,0.0,0.0,0.0,1,0.1333333333333333,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-31,GOOG,0.5,2.1213203435596424,0.206060606060606,2,0.0,0.0,172.93206787109375,0.0,0.0,0.0,1,0.206060606060606,0.0,0.5,0.0,2.1213203435596424,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-31,META,0.0,0.0,0.3681818181818181,1,0.0,0.0,464.7755432128906,0.0,0.0,0.0,1,0.3681818181818181,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-31,MSFT,-1.0,0.0,0.0,2,0.0,0.0,411.971435546875,0.0,0.0,0.0,1,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-31,NFLX,-1.0,0.0,0.0,1,0.0,0.0,641.6199951171875,0.0,0.0,0.0,1,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-31,NVDA,-1.0,0.0,-0.125,2,0.0,0.0,109.5893783569336,0.0,0.0,0.0,1,-0.125,0.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-31,TSLA,-1.0,0.0,0.2333333333333333,2,0.0,0.0,178.0800018310547,0.0,0.0,0.0,0,0.2333333333333333,0.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-03,AAPL,-1.0,0.0,0.1136363636363636,1,0.0,0.0,193.12680053710935,0.0,0.14133203403221728,0.028266406806443458,1,0.054040404040404055,-0.0055555555555555,-0.5,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07066601701610864,0.0,0.014133203403221729,0.0
2024-06-03,AMZN,-1.0,0.0,0.2987878787878787,1,0.0,0.0,178.33999633789062,0.0,0.15156646467681867,0.030313292935363736,1,0.216060606060606,0.1333333333333333,-0.5,0.0,0.5,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07578323233840933,0.0,0.015156646467681868,0.0
