,,accuracy,precision,recall,f1,auc
Logistic Regression,baseline,0.5019718309859155,0.5486054924242424,0.5279718253898767,0.4966076875194522,0.515010098725132
Logistic Regression,enhanced,0.5087323943661971,0.5523604149056789,0.5831218795747592,0.5477925869662721,0.5145417071055524
Random Forest,baseline,0.4929577464788732,0.5308219122985434,0.5319655976386315,0.5192685666103068,0.5084713524179318
Random Forest,enhanced,0.495774647887324,0.5308541061620895,0.5468622162941887,0.5292296508723192,0.5114583655380354
Gradient Boosting,baseline,0.5002816901408451,0.5376875333323724,0.5100089924928028,0.5121536241973679,0.5075757939439104
Gradient Boosting,enhanced,0.49633802816901407,0.5332410396595642,0.5231921378934261,0.5163872487031946,0.5164508587123466
