date,ticker,daily_retail_sentiment_score,n_retail_posts
2025-05-31,NVDA,0.9965,1
2025-06-03,GOOG,0.0,1
2025-06-04,AAPL,-0.7003,1
2025-06-04,GOOG,0.1531,1
2025-06-04,META,-0.8255,1
2025-06-05,GOOG,-0.4571,1
2025-06-05,META,-0.005949999999999955,2
2025-06-05,TSLA,-0.6307,1
2025-06-06,AMZN,0.981,1
2025-06-06,META,0.8555,1
2025-06-08,AAPL,0.5719,1
2025-06-08,AMZN,0.9953,1
2025-06-08,GOOG,0.4218,1
2025-06-09,MSFT,0.9487,1
2025-06-09,TSLA,-0.358,1
2025-06-10,AAPL,0.9416333333333333,3
2025-06-10,GOOG,0.1224,3
2025-06-10,META,0.61165,4
2025-06-10,NVDA,0.9705,1
2025-06-11,AAPL,0.4767,1
2025-06-11,GOOG,0.8616999999999999,3
2025-06-11,META,-0.024950000000000028,2
2025-06-11,NVDA,0.77525,2
2025-06-11,TSLA,0.406175,4
2025-06-12,AMZN,0.6196,1
2025-06-12,GOOG,0.37051428571428574,7
2025-06-12,META,0.7900499999999999,2
2025-06-12,NVDA,0.835275,4
2025-06-12,TSLA,0.0,1
2025-06-13,AAPL,0.9871,1
2025-06-13,GOOG,0.3787,3
2025-06-13,META,0.37095,2
2025-06-13,MSFT,0.9454499999999999,2
2025-06-13,NVDA,0.2732,1
2025-06-14,AAPL,-0.3328,1
2025-06-14,GOOG,0.9238666666666666,3
2025-06-14,MSFT,0.9338,1
2025-06-14,TSLA,0.6124,1
2025-06-15,NVDA,0.33840000000000003,2
2025-06-15,TSLA,0.9933,2
2025-06-16,GOOG,0.8814399999999999,5
2025-06-16,META,0.26625000000000004,6
2025-06-16,MSFT,0.8519,1
2025-06-16,NVDA,0.101,1
2025-06-16,TSLA,0.4215,1
2025-06-17,AAPL,0.0,1
2025-06-17,GOOG,0.9129,3
2025-06-17,META,-0.12653333333333336,3
2025-06-17,TSLA,0.68335,4
2025-06-18,AAPL,0.981,1
2025-06-18,GOOG,0.21710000000000002,2
2025-06-18,MSFT,0.3049,1
2025-06-18,NVDA,0.6239,1
2025-06-19,GOOG,0.952,2
2025-06-19,MSFT,0.4871,1
2025-06-19,NVDA,0.410975,4
